publication_title,print_identifier,title_url,primary_subject,full_coverage,0,1,2,3,4,5,6,7,8,9,date_first_issue_online,date_last_issue_online,parent_publication_title_id,preceding_publication_title_id,
Numismatic Notes and Monographs,0078-2718,http://www.jstor.org/journal/numinotemono,Archaeology,1920-01-01 - 2009-01-01,Archaeology,Art & Art History,Arts,Classical Studies,Humanities,Social Sciences,,,,,1/1/1920 0:00,2009,,,
Pallas,0031-0387,http://www.jstor.org/journal/pallas,Archaeology,1955-06-01 - 2014-01-01,Archaeology,Classical Studies,Humanities,Social Sciences,,,,,,,6/1/1955 0:00,2014,,,
Papers of the British School at Rome,0068-2462,http://www.jstor.org/journal/papbritschrome,Archaeology,1902-01-01 - 2014-01-01,Archaeology,Art & Art History,Arts,Classical Studies,History,History,Humanities,Social Sciences,,,1/1/1902 0:00,2014,,,
"Proceedings of the Royal Irish Academy: Archaeology, Culture, History, Literature",0035-8991,http://www.jstor.org/journal/procriasectc,Archaeology,1902-01-01 - 2014-01-01,Archaeology,Area Studies,Biological Sciences,History,History,Humanities,Irish Studies,Language & Literature,Science & Mathematics,Social Sciences,1/1/1902 0:00,2014,,procria1889,
Qedem,0333-5844,http://www.jstor.org/journal/qedem,Archaeology,1975-01-01 - 2017-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1975 0:00,2017,,,
Qedem Reports,0793-4289,http://www.jstor.org/journal/qedemreports,Archaeology,1995-01-01 - 2009-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1995 0:00,2009,,,
Scottish Archaeological Journal,1471-5767,http://www.jstor.org/journal/scotarchj,Archaeology,2000-03-01 - 2012-01-01,Archaeology,Social Sciences,,,,,,,,,3/1/2000 0:00,2012,,glasarchj,
Southeastern Archaeology,0734-578X,http://www.jstor.org/journal/southeastarch,Archaeology,1982-07-01 - 2010-12-01,Archaeology,Social Sciences,,,,,,,,,7/1/1982 0:00,2010,,,
Studies in Pre-Columbian Art and Archaeology,0585-7023,http://www.jstor.org/journal/stuprecolartarc,Archaeology,1966-01-01 - 2017-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1966 0:00,2017,,,
Syria,0039-7946,http://www.jstor.org/journal/syria,Archaeology,1920-01-01 - 2012-01-01,Archaeology,Area Studies,Art & Art History,Arts,Middle East Studies,Social Sciences,,,,,1/1/1920 0:00,2012,,,
